PASILLO,MODELO_1,MODELO_2,MODELO_3,MODELO_4,MODELO_5,MODELO_6,MODELO_7
PASILLO 45,182 TWEEN BLANCO,164 TWEEN FLASHBACK BLACK,,,,,
PASILLO 46,182 TWEEN NEGRO,182 TWEEN ALL NIGHT WHITE,164 TWEEN FLASHBACK MIST,,,,
PASILLO 47,162 TWEEN FLASHBACK ROSA,,,,,,
PASILLO 48,182 TWEEN CAMUFLADA,184 CRAZY FAN DYE FALL MIST,182 TWEEN CHAD BLACK,184 TWEEN CHAD BLACK,184 TWEEN CAMUFLADA,,
PASILLO 49,164 TWEEN FLASHBACK ROSA,182 CRAZY FAN DYE FALL SALMON,184 TWEEN VERDE,,,,
PASILLO 50,184 CRAZY FAN DYE FALL SALMON,182 CRAZY FAN FREE WAY WHITE,182 CRAZY FAN FLY FLAMINGO,184 CRAZY FAN ROSA,,,
PASILLO 51,198 DECKER 025 WINE,,,,,,
PASILLO 52,184 CRAZY FAN AZUL,184 TWEEN CHAD VISON,182 CRAZY FAN FREE WAY BLACK,184 CRAZY FAN BLANCA,,,
PASILLO 53,182 CRAZY FAN ROJA,184 CRAZY FAN ROJA,182 CRAZY FAN CHAD VISON,,,,
PASILLO 54,182 CRAZY FAN AZUL,184 CRAZY FAN TOTALLY BLACK,,,,,
PASILLO 55,184 CRAZY FAN DYE FALL NAUTIC,184 CRAZY FAN DYE FALL MUSTARD,182 CRAZY FAN TOTALLY BLACK,182 CRAZY FAN ROSA,,,
PASILLO 56,182 CRAZY FAN BLANCA,182 CRAZY FAN NEGRA,184 CRAZY FAN CHAD VISON,,,,
PASILLO 57,182 CRAZY FAN ALL NIGHT BLACK,,,,,,
PASILLO 58,182 CRAZY FAN DYE FALL MUSTARD,182 CRAZY FAN DYE FALL MIST,182 CRAZY FAN DYE FALL NAUTIC,,,,
PASILLO 59,176 MEET 21 GREY,176 MEET 21 BLACK,176 MEET 21 BLUE,,,,
PASILLO 60,,,,,,,
PASILLO 61,198 DECKER 025 SNOW,,,,,,
PASILLO 62,182 CRAZY FAN CHAD BLACK,184 CRAZY FAN ALL NIGHT BLACK,182 CRAZY FAN ALL NIGHT WHITE,184 CRAZY FAN NEGRA,,,
PASILLO 63,196 GAME 025 WHITE,196 GAME PLUS 025 MIST,,,,,
PASILLO 64,196 GAME 025 WHITE,,,,,,
PASILLO 65,176 MEET NEW BLUE,176 MEET NEW GREY,176 MEET NEW BLACK,,,,
PASILLO 66,162 FLASHBACK ROSA,164 GLEE SKY,,,,,
PASILLO 67,196 GAME CHESS 025 TAN,,,,,,
PASILLO 68,752 NEGRO,,,,,,
PASILLO 69,164 FLASHBACK DENIM BLUE,,,,,,
PASILLO 70,752 ALL NIGHT WHITE,164 FLASHBACK DENIM BLACK,752 TOTALLY BLACK,752 STONE WASHED BLACK,182 GLINT SILVER,,
PASILLO 71,752 ALL NIGHT BLACK,164 FLASHBACK CAMUFLADA,752 ROJO,,,,
PASILLO 72,164 VIVAC GREY,164 VIVAC BLACK,752 DYE FALL NUDE,,,,
PASILLO 73,164 FLASHBACK GO TOTALLY BLACK,,,,,,
PASILLO 74,164 FLASHBACK GO TOTALLY BLACK,,,,,,
PASILLO 75,164 FLASHBACK FULL ON GUM,164 FLASHBACK FULL ON MANGO,164 FLASHBACK FULL ON PURPLE,164 FLASHBACK FULL ON MINT,164 FLASHBACK FULL ON TOMATO,,
PASILLO 76,164 FLASHBACK FULL ON GREY,164 FLASHBACK AMBER,,,,,
PASILLO 77,164 FLASHBACK WHITE ART,752 FULL ON WHEAT,752 FULL ON ORCHID,752 FULL ON HAZE,164 FLASHBACK GO BRED,,
PASILLO 78,164 FLASHBACK NEGRO,,,,,,
PASILLO 79,164 FLASHBACK NEGRO,,,,,,
PASILLO 80,198 OHIO SIENNA,,,,,,
PASILLO 81,620 FUSE 01 RED,,,,,,
PASILLO 82,620 FUSE 01 RED,,,,,,
PASILLO 83,600 DUAL 01 BLACK,198 LEGION WINE,,,,,
PASILLO 84,198 LEGION WINE,,,,,,
PASILLO 85,300 BEAT WHITE,,,,,,
PASILLO 86,198 OHIO TOTALLY BLACK,,,,,,
PASILLO 87,600 DUAL 03 BLUE,,,,,,
PASILLO 88,600 DUAL 03 GREY,600 DUAL 02 BLUE,,,,,
PASILLO 89,600 DUAL 01 SKY,,,,,,
PASILLO 90,600 DUAL 02 BLACK,,,,,,
PASILLO 91,164 FLASHBACK GO BLACK,,,,,,
PASILLO 92,164 FLASHBACK GO BLACK,,,,,,
PASILLO 93,,,,,,,
PASILLO 94,600 DUAL 02 GREY,,,,,,
PASILLO 95,620 FUSE 01 NAVY,620 FUSE 01 BLUE,600 DUAL 02 GREEN,620 FUSE 02 WINE,620 FUSE 02 GREEN,,
PASILLO 96,,,,,,,
PASILLO 97,,,,,,,
PASILLO 98,,,,,,,
PASILLO 99,,,,,,,
PASILLO 100,,,,,,,
PASILLO 101,,,,,,,
PASILLO 102,,,,,,,
PASILLO 103,,,,,,,
PASILLO 104,,,,,,,
PASILLO 105,,,,,,,
PASILLO 106,196 GAME ONE 025 BLACK,,,,,,
PASILLO 107,300 BEAT BLACK,,,,,,
PASILLO 108,,,,,,,
PASILLO 109,300 BEAT CAMEL,,,,,,
PASILLO 110,300 BEAT CAMEL,,,,,,
PASILLO 111,198 LEGION BLACK,,,,,,
PASILLO 112,196 GAME PLUS 025 AERO,600 DUAL 03 CYAN,,,,,
PASILLO 113,164 FLASHBACK GO WHITE,,,,,,
PASILLO 114,164 FLASHBACK GO WHITE,,,,,,
PASILLO 115,,,,,,,
PASILLO 116,164 FLASHBACK TOTALLY BLACK,,,,,,
PASILLO 117,164 FLASHBACK FULL ON WHITE,,,,,,
PASILLO 118,182 BLANCO,,,,,,
PASILLO 119,182 BLANCO,,,,,,
PASILLO 120,,,,,,,
